epoch,step,loss
0,0,-0.10004884004592896
0,1,-0.09991773962974548
0,2,-0.10012611746788025
0,3,-0.09995751082897186
1,0,-0.10010334104299545
1,1,-0.09998749196529388
1,2,-0.1000010296702385
1,3,-0.10023955255746841
2,0,-0.09991816431283951
2,1,-0.09986810386180878
2,2,-0.1001039519906044
2,3,-0.1002277284860611
3,0,-0.10023555904626846
3,1,-0.10002491623163223
3,2,-0.10008738934993744
3,3,-0.1002013087272644
4,0,-0.10025450587272644
4,1,-0.1000974103808403
4,2,-0.10030657052993774
4,3,-0.10036902874708176
5,0,-0.10003135353326797
5,1,-0.10034266114234924
5,2,-0.10016689449548721
5,3,-0.1005069836974144
6,0,-0.10009836405515671
6,1,-0.10033413022756577
6,2,-0.10030439496040344
6,3,-0.10061651468276978
7,0,-0.100535549223423
7,1,-0.10018908232450485
7,2,-0.09999575465917587
7,3,-0.10047410428524017
8,0,-0.1002713292837143
8,1,-0.10038067400455475
8,2,-0.10019577294588089
8,3,-0.10045551508665085
9,0,-0.10039415955543518
9,1,-0.09996899217367172
9,2,-0.10018368810415268
9,3,-0.10057326406240463
