sequence_id,refseq,region,start_index,end_index,start,end,gene,gene_id,genbank,ensembl
NT_187577.1,RefSeq,sequence_feature,0,68772,1,68773,,,, 
NT_187577.1,BestRefSeq,gene,7545,10943,7546,10944,ADAM9,8754,, 
NT_187577.1,BestRefSeq,transcript,7545,10943,7546,10944,ADAM9,8754,NR_027878.2, 
NT_187577.1,BestRefSeq,exon,7545,7612,7546,7613,ADAM9,8754,NR_027878.2, 
NT_187577.1,BestRefSeq,exon,9289,10943,9290,10944,ADAM9,8754,NR_027878.2, 
NT_187577.1,BestRefSeq,transcript,7545,10943,7546,10944,ADAM9,8754,NR_027639.2, 
NT_187577.1,BestRefSeq,exon,7545,7612,7546,7613,ADAM9,8754,NR_027639.2, 
NT_187577.1,BestRefSeq,exon,9289,10943,9290,10944,ADAM9,8754,NR_027639.2, 
NT_187577.1,BestRefSeq,transcript,7545,10943,7546,10944,ADAM9,8754,NR_027638.2, 
NT_187577.1,BestRefSeq,exon,7545,7612,7546,7613,ADAM9,8754,NR_027638.2, 
NT_187577.1,BestRefSeq,exon,9289,10943,9290,10944,ADAM9,8754,NR_027638.2, 
NT_187577.1,BestRefSeq,mRNA,7545,10943,7546,10944,ADAM9,8754,NM_003816.3, 
NT_187577.1,BestRefSeq,exon,7545,7612,7546,7613,ADAM9,8754,NM_003816.3, 
NT_187577.1,BestRefSeq,exon,9289,10943,9290,10944,ADAM9,8754,NM_003816.3, 
NT_187577.1,BestRefSeq,CDS,7545,7612,7546,7613,ADAM9,8754,NP_003807.1, 
NT_187577.1,BestRefSeq,CDS,9289,9382,9290,9383,ADAM9,8754,NP_003807.1, 
NT_187577.1,BestRefSeq,gene,13211,190631,13212,190632,ADAM32,203102,, 
NT_187577.1,BestRefSeq,mRNA,13211,190631,13212,190632,ADAM32,203102,NM_001313994.1, 
NT_187577.1,BestRefSeq,exon,13211,13515,13212,13516,ADAM32,203102,NM_001313994.1, 
NT_187577.1,BestRefSeq,exon,42339,42400,42340,42401,ADAM32,203102,NM_001313994.1, 
NT_187577.1,BestRefSeq,exon,52812,52887,52813,52888,ADAM32,203102,NM_001313994.1, 
