sequence_id,refseq,region,start_index,end_index,start,end,gene,gene_id,genbank,ensembl
NW_003315917.2,RefSeq,sequence_feature,0,48732,1,48733,,,, 
NW_003315917.2,BestRefSeq,gene,941,13337,942,13338,MRPS36,92259,, 
NW_003315917.2,BestRefSeq,mRNA,941,13337,942,13338,MRPS36,92259,NM_033281.6, 
NW_003315917.2,BestRefSeq,exon,941,1052,942,1053,MRPS36,92259,NM_033281.6, 
NW_003315917.2,BestRefSeq,exon,9519,9582,9520,9583,MRPS36,92259,NM_033281.6, 
NW_003315917.2,BestRefSeq,exon,11381,11568,11382,11569,MRPS36,92259,NM_033281.6, 
NW_003315917.2,BestRefSeq,exon,12387,13337,12388,13338,MRPS36,92259,NM_033281.6, 
NW_003315917.2,BestRefSeq,CDS,1011,1052,1012,1053,MRPS36,92259,NP_150597.1, 
NW_003315917.2,BestRefSeq,CDS,9519,9582,9520,9583,MRPS36,92259,NP_150597.1, 
NW_003315917.2,BestRefSeq,CDS,11381,11568,11382,11569,MRPS36,92259,NP_150597.1, 
NW_003315917.2,BestRefSeq,CDS,12387,12404,12388,12405,MRPS36,92259,NP_150597.1, 
NW_003315917.2,RefSeqFE,enhancer,1223,1517,1224,1518,,121079943,, 
NW_003315917.2,RefSeqFE,biological_region,1223,1517,1224,1518,,121079943,, 
NW_003315917.2,BestRefSeq,gene,17974,60595,17975,60596,CDK7,1022,, 
NW_003315917.2,BestRefSeq,transcript,18065,60595,18066,60596,CDK7,1022,NR_136690.2, 
NW_003315917.2,BestRefSeq,exon,18065,18220,18066,18221,CDK7,1022,NR_136690.2, 
NW_003315917.2,BestRefSeq,exon,18573,18632,18574,18633,CDK7,1022,NR_136690.2, 
NW_003315917.2,BestRefSeq,exon,35597,35630,35598,35631,CDK7,1022,NR_136690.2, 
NW_003315917.2,BestRefSeq,exon,37783,37850,37784,37851,CDK7,1022,NR_136690.2, 
NW_003315917.2,BestRefSeq,exon,38641,38709,38642,38710,CDK7,1022,NR_136690.2, 
NW_003315917.2,BestRefSeq,exon,41224,41334,41225,41335,CDK7,1022,NR_136690.2, 
NW_003315917.2,BestRefSeq,exon,45384,45483,45385,45484,CDK7,1022,NR_136690.2, 
NW_003315917.2,BestRefSeq,exon,52380,52466,52381,52467,CDK7,1022,NR_136690.2, 
