sequence_id,refseq,region,start_index,end_index,start,end,gene,gene_id,genbank,ensembl
NT_113891.3,RefSeq,sequence_feature,0,63386,1,63387,,,, 
NT_113891.3,BestRefSeq,gene,631,5673,632,5674,GPX6,257202,, 
NT_113891.3,BestRefSeq,mRNA,631,5673,632,5674,GPX6,257202,NM_182701.1, 
NT_113891.3,BestRefSeq,exon,5537,5673,5538,5674,GPX6,257202,NM_182701.1, 
NT_113891.3,BestRefSeq,exon,631,784,632,785,GPX6,257202,NM_182701.1, 
NT_113891.3,BestRefSeq,CDS,5537,5623,5538,5624,GPX6,257202,NP_874360.1, 
NT_113891.3,BestRefSeq,CDS,631,784,632,785,GPX6,257202,NP_874360.1, 
NT_113891.3,BestRefSeq,gene,15761,24835,15762,24836,GPX5,2880,, 
NT_113891.3,BestRefSeq,transcript,18206,24835,18207,24836,GPX5,2880,NR_144470.2, 
NT_113891.3,BestRefSeq,exon,18206,18488,18207,18489,GPX5,2880,NR_144470.2, 
NT_113891.3,BestRefSeq,exon,19331,19484,19332,19485,GPX5,2880,NR_144470.2, 
NT_113891.3,BestRefSeq,exon,22201,22300,22202,22301,GPX5,2880,NR_144470.2, 
NT_113891.3,BestRefSeq,exon,23841,24835,23842,24836,GPX5,2880,NR_144470.2, 
NT_113891.3,BestRefSeq,mRNA,15761,24835,15762,24836,GPX5,2880,NM_001509.3, 
NT_113891.3,BestRefSeq,exon,15761,15980,15762,15981,GPX5,2880,NM_001509.3, 
NT_113891.3,BestRefSeq,exon,19331,19484,19332,19485,GPX5,2880,NM_001509.3, 
NT_113891.3,BestRefSeq,exon,21658,21775,21659,21776,GPX5,2880,NM_001509.3, 
NT_113891.3,BestRefSeq,exon,22201,22300,22202,22301,GPX5,2880,NM_001509.3, 
NT_113891.3,BestRefSeq,exon,23841,24835,23842,24836,GPX5,2880,NM_001509.3, 
NT_113891.3,BestRefSeq,CDS,15894,15980,15895,15981,GPX5,2880,NP_001500.1, 
NT_113891.3,BestRefSeq,CDS,19331,19484,19332,19485,GPX5,2880,NP_001500.1, 
NT_113891.3,BestRefSeq,CDS,21658,21775,21659,21776,GPX5,2880,NP_001500.1, 
NT_113891.3,BestRefSeq,CDS,22201,22300,22202,22301,GPX5,2880,NP_001500.1, 
NT_113891.3,BestRefSeq,CDS,23841,24047,23842,24048,GPX5,2880,NP_001500.1, 
NT_113891.3,BestRefSeq,mRNA,15892,24831,15893,24832,GPX5,2880,NM_003996.3, 
NT_113891.3,BestRefSeq,exon,15892,15980,15893,15981,GPX5,2880,NM_003996.3, 
NT_113891.3,BestRefSeq,exon,19331,19484,19332,19485,GPX5,2880,NM_003996.3, 
NT_113891.3,BestRefSeq,exon,22201,22300,22202,22301,GPX5,2880,NM_003996.3, 
NT_113891.3,BestRefSeq,exon,23841,24831,23842,24832,GPX5,2880,NM_003996.3, 
NT_113891.3,BestRefSeq,CDS,15894,15980,15895,15981,GPX5,2880,NP_003987.2, 
NT_113891.3,BestRefSeq,CDS,19331,19484,19332,19485,GPX5,2880,NP_003987.2, 
NT_113891.3,BestRefSeq,CDS,22201,22262,22202,22263,GPX5,2880,NP_003987.2, 
NT_113891.3,tRNAscan-SE,gene,27470,27563,27471,27564,TRI-TAT3-1,100189348,, 
NT_113891.3,tRNAscan-SE,tRNA,27470,27563,27471,27564,TRI-TAT3-1,100189348,, 
NT_113891.3,tRNAscan-SE,exon,27470,27507,27471,27508,TRI-TAT3-1,100189348,, 
NT_113891.3,tRNAscan-SE,exon,27528,27563,27529,27564,TRI-TAT3-1,100189348,, 
NT_113891.3,Gnomon,gene,32971,34962,32972,34963,LOC107986586,107986586,, 
NT_113891.3,Gnomon,lnc_RNA,32971,34962,32972,34963,LOC107986586,107986586,XR_001756548.1, 
NT_113891.3,Gnomon,exon,34792,34962,34793,34963,LOC107986586,107986586,XR_001756548.1, 
NT_113891.3,Gnomon,exon,34223,34312,34224,34313,LOC107986586,107986586,XR_001756548.1, 
NT_113891.3,Gnomon,exon,32971,33080,32972,33081,LOC107986586,107986586,XR_001756548.1, 
NT_113891.3,tRNAscan-SE,gene,32994,33066,32995,33067,TRR-TCG5-1,100189034,, 
NT_113891.3,tRNAscan-SE,tRNA,32994,33066,32995,33067,TRR-TCG5-1,100189034,, 
NT_113891.3,tRNAscan-SE,exon,32994,33066,32995,33067,TRR-TCG5-1,100189034,, 
NT_113891.3,BestRefSeq,gene,60415,106076,60416,106077,ZBED9,114821,, 
NT_113891.3,BestRefSeq,mRNA,60415,106076,60416,106077,ZBED9,114821,NM_001329616.2, 
NT_113891.3,BestRefSeq,exon,105899,106076,105900,106077,ZBED9,114821,NM_001329616.2, 
NT_113891.3,BestRefSeq,exon,77831,77994,77832,77995,ZBED9,114821,NM_001329616.2, 
NT_113891.3,BestRefSeq,exon,77337,77471,77338,77472,ZBED9,114821,NM_001329616.2, 
NT_113891.3,BestRefSeq,exon,69153,69300,69154,69301,ZBED9,114821,NM_001329616.2, 
NT_113891.3,BestRefSeq,exon,64524,66016,64525,66017,ZBED9,114821,NM_001329616.2, 
NT_113891.3,BestRefSeq,exon,60415,63707,60416,63708,ZBED9,114821,NM_001329616.2, 
NT_113891.3,BestRefSeq,CDS,69153,69267,69154,69268,ZBED9,114821,NP_001316545.1, 
NT_113891.3,BestRefSeq,CDS,64524,66016,64525,66017,ZBED9,114821,NP_001316545.1, 
NT_113891.3,BestRefSeq,CDS,61791,63707,61792,63708,ZBED9,114821,NP_001316545.1, 
NT_113891.3,BestRefSeq,mRNA,60415,77173,60416,77174,ZBED9,114821,NM_052923.2, 
NT_113891.3,BestRefSeq,exon,76173,77173,76174,77174,ZBED9,114821,NM_052923.2, 
NT_113891.3,BestRefSeq,exon,69153,69300,69154,69301,ZBED9,114821,NM_052923.2, 
NT_113891.3,BestRefSeq,exon,64524,66016,64525,66017,ZBED9,114821,NM_052923.2, 
NT_113891.3,BestRefSeq,exon,60415,63707,60416,63708,ZBED9,114821,NM_052923.2, 
NT_113891.3,BestRefSeq,CDS,76173,76592,76174,76593,ZBED9,114821,NP_443155.1, 
NT_113891.3,BestRefSeq,CDS,69153,69300,69154,69301,ZBED9,114821,NP_443155.1, 
NT_113891.3,BestRefSeq,CDS,64524,66016,64525,66017,ZBED9,114821,NP_443155.1, 
NT_113891.3,BestRefSeq,CDS,61791,63707,61792,63708,ZBED9,114821,NP_443155.1, 
