sequence_id,refseq,region,start_index,end_index,start,end,gene,gene_id,genbank,ensembl
NW_012132916.1,RefSeq,sequence_feature,0,131914,1,131915,,,, 
NW_012132916.1,BestRefSeq,gene,14786,15717,14787,15718,MAGI1,9223,, 
NW_012132916.1,BestRefSeq,mRNA,14786,15717,14787,15718,MAGI1,9223,NM_001365905.1, 
NW_012132916.1,BestRefSeq,exon,14794,15717,14795,15718,MAGI1,9223,NM_001365905.1, 
NW_012132916.1,BestRefSeq,exon,14786,14792,14787,14793,MAGI1,9223,NM_001365905.1, 
NW_012132916.1,BestRefSeq,CDS,14794,15107,14795,15108,MAGI1,9223,NP_001352834.1, 
NW_012132916.1,BestRefSeq,CDS,14786,14792,14787,14793,MAGI1,9223,NP_001352834.1, 
NW_012132916.1,BestRefSeq,mRNA,14786,15717,14787,15718,MAGI1,9223,NM_004742.3, 
NW_012132916.1,BestRefSeq,exon,14794,15717,14795,15718,MAGI1,9223,NM_004742.3, 
NW_012132916.1,BestRefSeq,exon,14786,14792,14787,14793,MAGI1,9223,NM_004742.3, 
NW_012132916.1,BestRefSeq,CDS,14794,15107,14795,15108,MAGI1,9223,NP_004733.2, 
NW_012132916.1,BestRefSeq,CDS,14786,14792,14787,14793,MAGI1,9223,NP_004733.2, 
NW_012132916.1,BestRefSeq,mRNA,14786,15717,14787,15718,MAGI1,9223,NM_001033057.2, 
NW_012132916.1,BestRefSeq,exon,14794,15717,14795,15718,MAGI1,9223,NM_001033057.2, 
NW_012132916.1,BestRefSeq,exon,14786,14792,14787,14793,MAGI1,9223,NM_001033057.2, 
NW_012132916.1,BestRefSeq,CDS,14794,15107,14795,15108,MAGI1,9223,NP_001028229.1, 
NW_012132916.1,BestRefSeq,CDS,14786,14792,14787,14793,MAGI1,9223,NP_001028229.1, 
NW_012132916.1,BestRefSeq,mRNA,14786,15717,14787,15718,MAGI1,9223,NM_001365904.2, 
NW_012132916.1,BestRefSeq,exon,14794,15717,14795,15718,MAGI1,9223,NM_001365904.2, 
NW_012132916.1,BestRefSeq,exon,14786,14792,14787,14793,MAGI1,9223,NM_001365904.2, 
NW_012132916.1,BestRefSeq,CDS,14794,15107,14795,15108,MAGI1,9223,NP_001352833.1, 
NW_012132916.1,BestRefSeq,CDS,14786,14792,14787,14793,MAGI1,9223,NP_001352833.1, 
NW_012132916.1,BestRefSeq,mRNA,14786,15717,14787,15718,MAGI1,9223,NM_015520.2, 
NW_012132916.1,BestRefSeq,exon,14794,15717,14795,15718,MAGI1,9223,NM_015520.2, 
NW_012132916.1,BestRefSeq,exon,14786,14792,14787,14793,MAGI1,9223,NM_015520.2, 
NW_012132916.1,BestRefSeq,CDS,14794,15107,14795,15108,MAGI1,9223,NP_056335.1, 
NW_012132916.1,BestRefSeq,CDS,14786,14792,14787,14793,MAGI1,9223,NP_056335.1, 
NW_012132916.1,BestRefSeq,mRNA,14786,15717,14787,15718,MAGI1,9223,NM_001365903.2, 
NW_012132916.1,BestRefSeq,exon,14794,15717,14795,15718,MAGI1,9223,NM_001365903.2, 
NW_012132916.1,BestRefSeq,exon,14786,14792,14787,14793,MAGI1,9223,NM_001365903.2, 
NW_012132916.1,BestRefSeq,CDS,14794,15107,14795,15108,MAGI1,9223,NP_001352832.1, 
NW_012132916.1,BestRefSeq,CDS,14786,14792,14787,14793,MAGI1,9223,NP_001352832.1, 
NW_012132916.1,Gnomon,gene,15735,17093,15736,17094,LOC105377128,105377128,, 
NW_012132916.1,Gnomon,lnc_RNA,15735,17093,15736,17094,LOC105377128,105377128,XR_001756910.1, 
NW_012132916.1,Gnomon,exon,15735,15997,15736,15998,LOC105377128,105377128,XR_001756910.1, 
NW_012132916.1,Gnomon,exon,16851,17093,16852,17094,LOC105377128,105377128,XR_001756910.1, 
NW_012132916.1,BestRefSeq,gene,110409,355822,110410,355823,SLC25A26,115286,, 
NW_012132916.1,BestRefSeq,transcript,197637,355822,197638,355823,SLC25A26,115286,NR_028475.1, 
NW_012132916.1,BestRefSeq,exon,197637,198022,197638,198023,SLC25A26,115286,NR_028475.1, 
NW_012132916.1,BestRefSeq,exon,220098,220207,220099,220208,SLC25A26,115286,NR_028475.1, 
NW_012132916.1,BestRefSeq,exon,238946,239050,238947,239051,SLC25A26,115286,NR_028475.1, 
NW_012132916.1,BestRefSeq,exon,240227,240274,240228,240275,SLC25A26,115286,NR_028475.1, 
NW_012132916.1,BestRefSeq,exon,281348,281432,281349,281433,SLC25A26,115286,NR_028475.1, 
NW_012132916.1,BestRefSeq,exon,323259,323303,323260,323304,SLC25A26,115286,NR_028475.1, 
NW_012132916.1,BestRefSeq,exon,339755,339824,339756,339825,SLC25A26,115286,NR_028475.1, 
NW_012132916.1,BestRefSeq,exon,346373,346437,346374,346438,SLC25A26,115286,NR_028475.1, 
NW_012132916.1,BestRefSeq,exon,347424,347497,347425,347498,SLC25A26,115286,NR_028475.1, 
