sequence_id,refseq,region,start_index,end_index,start,end
NT_187585.1,RefSeq,sequence_feature,0,48006,1,48007 
NT_187585.1,BestRefSeq,gene,1030,81274,1031,81275 
NT_187585.1,BestRefSeq,mRNA,1030,81274,1031,81275 
NT_187585.1,BestRefSeq,exon,1030,1105,1031,1106 
NT_187585.1,BestRefSeq,exon,8146,8240,8147,8241 
NT_187585.1,BestRefSeq,exon,9172,9218,9173,9219 
NT_187585.1,BestRefSeq,exon,10162,10223,10163,10224 
NT_187585.1,BestRefSeq,exon,79931,81274,79932,81275 
NT_187585.1,BestRefSeq,CDS,1030,1105,1031,1106 
NT_187585.1,BestRefSeq,CDS,8146,8240,8147,8241 
NT_187585.1,BestRefSeq,CDS,9172,9218,9173,9219 
NT_187585.1,BestRefSeq,CDS,10162,10223,10163,10224 
NT_187585.1,BestRefSeq,CDS,79931,80167,79932,80168 
NT_187585.1,BestRefSeq,mRNA,1030,81269,1031,81270 
NT_187585.1,BestRefSeq,exon,1030,1105,1031,1106 
NT_187585.1,BestRefSeq,exon,8146,8240,8147,8241 
NT_187585.1,BestRefSeq,exon,9172,9218,9173,9219 
NT_187585.1,BestRefSeq,exon,10162,10223,10163,10224 
NT_187585.1,BestRefSeq,exon,79931,81269,79932,81270 
NT_187585.1,BestRefSeq,CDS,1030,1105,1031,1106 
NT_187585.1,BestRefSeq,CDS,8146,8240,8147,8241 
NT_187585.1,BestRefSeq,CDS,9172,9218,9173,9219 
NT_187585.1,BestRefSeq,CDS,10162,10223,10163,10224 
NT_187585.1,BestRefSeq,CDS,79931,80167,79932,80168 
NT_187585.1,Curated Genomic,pseudogene,3542,3763,3543,3764 
NT_187585.1,RefSeq,sequence_feature,48007,48384,48008,48385 
NT_187585.1,RefSeq,sequence_feature,48385,51979,48386,51980 
NT_187585.1,RefSeq,sequence_feature,51980,52366,51981,52367 
NT_187585.1,RefSeq,sequence_feature,52367,52640,52368,52641 
NT_187585.1,Gnomon,gene,54964,61743,54965,61744 
NT_187585.1,Gnomon,lnc_RNA,54964,61743,54965,61744 
NT_187585.1,Gnomon,exon,54964,55948,54965,55949 
NT_187585.1,Gnomon,exon,61285,61743,61286,61744 
NT_187585.1,BestRefSeq,gene,72298,93726,72299,93727 
NT_187585.1,BestRefSeq,lnc_RNA,72298,93726,72299,93727 
NT_187585.1,BestRefSeq,exon,93147,93726,93148,93727 
NT_187585.1,BestRefSeq,exon,90899,91095,90900,91096 
NT_187585.1,BestRefSeq,exon,72298,72605,72299,72606 
NT_187585.1,RefSeqFE,transcriptional_cis_regulatory_region,99327,101094,99328,101095 
NT_187585.1,RefSeqFE,biological_region,99327,101094,99328,101095 
NT_187585.1,BestRefSeq,gene,102227,104277,102228,104278 
NT_187585.1,BestRefSeq,lnc_RNA,102227,104277,102228,104278 
NT_187585.1,BestRefSeq,exon,102227,103036,102228,103037 
NT_187585.1,BestRefSeq,exon,104017,104277,104018,104278 
NT_187585.1,BestRefSeq,gene,115396,117984,115397,117985 
NT_187585.1,BestRefSeq,mRNA,115396,117984,115397,117985 
NT_187585.1,BestRefSeq,exon,117843,117984,117844,117985 
NT_187585.1,BestRefSeq,exon,117411,117675,117412,117676 
NT_187585.1,BestRefSeq,exon,116177,116312,116178,116313 
NT_187585.1,BestRefSeq,exon,115396,116088,115397,116089 
NT_187585.1,BestRefSeq,CDS,117411,117665,117412,117666 
NT_187585.1,BestRefSeq,CDS,116177,116312,116178,116313 
NT_187585.1,BestRefSeq,CDS,115952,116088,115953,116089 
NT_187585.1,BestRefSeq,mRNA,115396,117984,115397,117985 
NT_187585.1,BestRefSeq,exon,117843,117984,117844,117985 
NT_187585.1,BestRefSeq,exon,116879,117675,116880,117676 
NT_187585.1,BestRefSeq,exon,116177,116312,116178,116313 
NT_187585.1,BestRefSeq,exon,115396,116088,115397,116089 
NT_187585.1,BestRefSeq,CDS,116879,117665,116880,117666 
NT_187585.1,BestRefSeq,CDS,116182,116312,116183,116313 
NT_187585.1,BestRefSeq,mRNA,115396,117984,115397,117985 
NT_187585.1,BestRefSeq,exon,117843,117984,117844,117985 
NT_187585.1,BestRefSeq,exon,116879,117675,116880,117676 
NT_187585.1,BestRefSeq,exon,116177,116312,116178,116313 
NT_187585.1,BestRefSeq,exon,115396,116093,115397,116094 
NT_187585.1,BestRefSeq,CDS,116879,117665,116880,117666 
NT_187585.1,BestRefSeq,CDS,116182,116312,116183,116313 
NT_187585.1,BestRefSeq,mRNA,115396,117984,115397,117985 
NT_187585.1,BestRefSeq,exon,116879,117984,116880,117985 
NT_187585.1,BestRefSeq,exon,116177,116312,116178,116313 
NT_187585.1,BestRefSeq,exon,115396,116088,115397,116089 
NT_187585.1,BestRefSeq,CDS,116879,117698,116880,117699 
NT_187585.1,BestRefSeq,CDS,116182,116312,116183,116313 
NT_187585.1,BestRefSeq,mRNA,115396,117974,115397,117975 
NT_187585.1,BestRefSeq,exon,116879,117974,116880,117975 
NT_187585.1,BestRefSeq,exon,116177,116312,116178,116313 
NT_187585.1,BestRefSeq,exon,115396,116093,115397,116094 
NT_187585.1,BestRefSeq,CDS,116879,117698,116880,117699 
NT_187585.1,BestRefSeq,CDS,116182,116312,116183,116313 
NT_187585.1,Gnomon,gene,118459,120367,118460,120368 
NT_187585.1,Gnomon,lnc_RNA,118459,120367,118460,120368 
NT_187585.1,Gnomon,exon,118459,119280,118460,119281 
NT_187585.1,Gnomon,exon,119637,120367,119638,120368 
NT_187585.1,BestRefSeq,gene,119554,135789,119555,135790 
NT_187585.1,BestRefSeq,lnc_RNA,119554,135789,119555,135790 
NT_187585.1,BestRefSeq,exon,135673,135789,135674,135790 
NT_187585.1,BestRefSeq,exon,134798,134923,134799,134924 
NT_187585.1,BestRefSeq,exon,119554,120845,119555,120846 
NT_187585.1,BestRefSeq,lnc_RNA,119554,135789,119555,135790 
NT_187585.1,BestRefSeq,exon,135673,135789,135674,135790 
NT_187585.1,BestRefSeq,exon,134798,134923,134799,134924 
NT_187585.1,BestRefSeq,exon,131606,132000,131607,132001 
NT_187585.1,BestRefSeq,exon,119554,120845,119555,120846 
NT_187585.1,BestRefSeq,gene,131901,157361,131902,157362 
NT_187585.1,BestRefSeq,mRNA,131901,157361,131902,157362 
NT_187585.1,BestRefSeq,exon,131901,132016,131902,132017 
NT_187585.1,BestRefSeq,exon,135428,135703,135429,135704 
NT_187585.1,BestRefSeq,exon,140452,140549,140453,140550 
NT_187585.1,BestRefSeq,exon,141415,141575,141416,141576 
NT_187585.1,BestRefSeq,exon,141796,141928,141797,141929 
NT_187585.1,BestRefSeq,exon,148840,148958,148841,148959 
NT_187585.1,BestRefSeq,exon,150205,150312,150206,150313 
NT_187585.1,BestRefSeq,exon,151523,151623,151524,151624 
NT_187585.1,BestRefSeq,exon,154277,154378,154278,154379 
NT_187585.1,BestRefSeq,exon,154611,154731,154612,154732 
NT_187585.1,BestRefSeq,exon,157125,157361,157126,157362 
NT_187585.1,BestRefSeq,CDS,135560,135703,135561,135704 
NT_187585.1,BestRefSeq,CDS,140452,140549,140453,140550 
NT_187585.1,BestRefSeq,CDS,141415,141575,141416,141576 
NT_187585.1,BestRefSeq,CDS,141796,141928,141797,141929 
NT_187585.1,BestRefSeq,CDS,148840,148958,148841,148959 
NT_187585.1,BestRefSeq,CDS,150205,150312,150206,150313 
NT_187585.1,BestRefSeq,CDS,151523,151623,151524,151624 
NT_187585.1,BestRefSeq,CDS,154277,154378,154278,154379 
NT_187585.1,BestRefSeq,CDS,154611,154731,154612,154732 
NT_187585.1,BestRefSeq,CDS,157125,157312,157126,157313 
NT_187585.1,BestRefSeq,mRNA,134490,157361,134491,157362 
NT_187585.1,BestRefSeq,exon,134490,134576,134491,134577 
NT_187585.1,BestRefSeq,exon,135428,135703,135429,135704 
NT_187585.1,BestRefSeq,exon,140452,140549,140453,140550 
NT_187585.1,BestRefSeq,exon,141415,141575,141416,141576 
NT_187585.1,BestRefSeq,exon,141796,141928,141797,141929 
NT_187585.1,BestRefSeq,exon,148840,148958,148841,148959 
NT_187585.1,BestRefSeq,exon,150205,150312,150206,150313 
NT_187585.1,BestRefSeq,exon,151523,151623,151524,151624 
