sequence_id,refseq,region,start_index,end_index,start,end
NW_009646198.1,RefSeq,sequence_feature,0,2182,1,2183 
NW_009646198.1,RefSeq,sequence_feature,8699,10167,8700,10168 
NW_009646198.1,RefSeq,sequence_feature,12458,17658,12459,17659 
NW_009646198.1,RefSeq,sequence_feature,29272,34452,29273,34453 
NW_009646198.1,RefSeq,sequence_feature,35012,43346,35013,43347 
NW_009646198.1,RefSeq,sequence_feature,43496,70014,43497,70015 
NW_009646198.1,BestRefSeq,pseudogene,126608,266434,126609,266435 
NW_009646198.1,BestRefSeq,transcript,126608,266434,126609,266435 
NW_009646198.1,BestRefSeq,exon,266367,266434,266368,266435 
NW_009646198.1,BestRefSeq,exon,241539,241611,241540,241612 
NW_009646198.1,BestRefSeq,exon,236427,236613,236428,236614 
NW_009646198.1,BestRefSeq,exon,174153,174279,174154,174280 
NW_009646198.1,BestRefSeq,exon,168914,168996,168915,168997 
NW_009646198.1,BestRefSeq,exon,140333,140401,140334,140402 
NW_009646198.1,BestRefSeq,exon,126608,126838,126609,126839 
NW_009646198.1,RefSeq,sequence_feature,233155,305978,233156,305979 
